1971
f5: l1 = 2.20; l2 = 2.72
f6: l1 = 1.85; l2 = 2.31
f7: l1 = 1.40; l2 = 1.73
f8: l1 = 2.26; l2 = 2.68
f9: l1 = 2.17; l2 = 2.48
f10: l1 = 2.06; l2 = 2.43
f11: l1 = 1.99; l2 = 2.53
f12: l1 = 1.91; l2 = 2.34
f13: l1 = 2.22; l2 = 2.64
f14: l1 = 2.00; l2 = 2.60

2010
f1: l1 = 3.43; l2 = 4.07
f2: l1 = 3.37; l2 = 3.98
f3: l1 = 3.29; l2 = 3.98
f4: l1 = 2.89; l2 = 3.80
f5: l1 = 2.33; l2 = 2.83
f6: l1 = 3.12; l2 = 3.83
f7: l1 = 2.43; l2 = 2.87
f8: l1 = 3.34; l2 = 4.30
f9: l1 = 3.23; l2 = 4.17
f10: l1 = 3.39; l2 = 4.26
f11: l1 = 2.87; l2 = 3.27
f12: l1 = 3.32; l2 = 3.83
f13: l1 = 2.95; l2 = 3.44
f14: l1 = 2.86; l2 = 3.36

